出现时间点,模式,字体,颜色,发送时间,弹幕池,用户id,rowid,content
2537.05300,5,25,15138834,1600298405,0,f10f5a07,38354933574008839,趵突泉：管好你自己
2660.74800,5,25,14811775,1640421536,0,310ba593,59417735245642752,防李清照的围挡哈哈哈哈
1079.68500,5,25,16646914,1639056977,0,6eccde8d,58702313395592192,《大    青    岛》
1988.86600,5,25,16777215,1630772093,0,7515cb93,54358648382177792,扑   棱   鹅  子
168.38200,1,25,16777215,1659333246,0,b3688029,1109326692008357120,轩轩的家乡
1014.71900,1,25,16777215,1649580678,0,f5476450,1027516223480648192,轩轩的家乡
1077.02800,1,25,16777215,1642862596,0,ddfc1713,971160865257930752,小宋老师的姐妹等等！
1441.72400,1,25,16777215,1642839648,0,3cc42f83,970968362212352000,年级第一，我要当年级第一
2177.13600,1,25,4351678,1642677883,0,2035897,969611374441013248,云梦？！
642.37700,1,25,15138834,1639713815,0,20edf9fb,59046685956429312,没办法，山东每个城市都很优秀很有特点，你说气不气哈哈哈哈哈哈哈
82.94000,1,25,16777215,1660034441,0,3f29e1ff,1115208739444621312,小宋是宋亚轩
169.09500,5,25,13369971,1643503568,0,82a94d04,976537724420538368,胶 州 一 中
1632.07400,5,25,16646914,1629173500,0,efdfec35,53520525115908608,在看的23人举个爪{doge}
1094.14700,5,25,16777215,1629173176,0,efdfec35,53520355537458176,Minecraft诚不欺我
782.87800,1,25,8700107,1660525543,0,39f88536,1119328397785401088,我小宋老师
773.11600,1,25,16777215,1660301654,0,b7316bc6,1117450281609593344,亚轩的家乡好漂亮
2862.36400,1,25,16777215,1635491120,0,7760bcda,56832777705311232,淄博淄博淄博淄博淄博淄博淄博淄博淄博淄博淄博淄博淄博淄博淄博淄博淄博淄博淄博淄博
990.69100,1,25,16777215,1633737456,0,f9145cab,55913352542725632,小宋老师的老家
773.39900,1,25,16777215,1660198106,0,621e2f58,1116581660260089856,轩轩
123.85800,1,25,16777215,1659515567,0,8b15ba52,1110856111944242176,前面宋亚轩的等我，不过我喜欢刘耀文。
2329.68200,1,25,16777215,1657805719,0,ca3d3d3a,1096512860412214272,我好闺蜜临清的！ 临清一中
1392.91200,1,25,15138834,1644303708,0,5c5587a7,983249788620333056,严浩翔
2069.11600,1,25,15138834,1633249669,0,ca3e6f8a,55657611889176064,枣庄三中学生报道啦！
60.02800,1,25,16777215,1618452735,0,2f64ea09,47873030989283331,山东一米六娇弱少女发来贺电
110.56600,1,25,16777215,1667984374,0,83d50d3e,1181897606729993216,前边的，我专为小宋老师来的
2804.75900,1,25,15138834,1660618253,0,e12f0754,1120106108158157312,！！！前    方    核    能！！！
58.34900,1,25,16777215,1660470251,0,2cfbe4e7,1118864581733693184,小宋老师
1954.62600,1,25,16777215,1660201754,0,621e2f58,1116612260358384128,宋老师家乡的等等我
1572.12900,1,25,16777215,1659015226,0,c2204a83,1106658943276442368,我？不可能
263.36000,1,25,16777215,1658973214,0,76b7bf87,1106306521060406784,酒是雪花（doge）
2178.99800,1,25,16777215,1658724580,0,cf6c6532,1104220830155528448,前面说云梦的，道友啊！
2839.30000,4,25,9599289,1658032445,0,1b17cb8,1098414782333151232,看不见我
58.83000,1,25,16777215,1657948163,0,50b295da,1097707773732442368,山东盒子曹县牛逼666
1225.95700,1,25,41194,1654449573,0,3f3a09a3,1068359473627790848,九龙拉棺，准备启航
953.42800,1,25,16777215,1651058547,0,20657223,1039913485980468480,地膜是考点，快记笔记！！！
2328.33600,1,25,16777215,1644919733,0,577762a9,988417379337355264,天王盖地虎，宝塔镇河妖
418.41700,1,25,16777215,1643976649,0,640eb099,980506213317820416,都是韭菜
1940.00800,1,25,16777215,1643975649,0,139b3cd8,980497828054769664,Tu-160白天鹅
475.16300,1,25,16646914,1643454310,0,a962910e,976124522390888448,流水面包
2852.59400,5,25,15138834,1643293000,0,78a1b65f,974771355604287488,曹县的富翁们不给你三联了
